Job ID,Job Title,Company,Salary Range,Required Experience,Remote,Description Length,Has Company Logo,Fraud Score,Fraudulent
1,Marketing Manager,NextGen,2-4 LPA,0,Yes,347,Yes,1,No
2,Business Analyst,Global Solutions,4-6 LPA,1,Yes,22,No,2,No
3,Work from Home,BrightFuture,6-10 LPA,2,No,774,No,1,No
4,HR Executive,Innova,6-10 LPA,2,No,713,Yes,0,No
5,Business Analyst,Innova,20+ LPA,2,Yes,124,Yes,1,No
6,Software Engineer,XYZ Corp,4-6 LPA,0,Yes,753,Yes,1,No
7,HR Executive,ABC Ltd,2-4 LPA,0,Yes,689,No,2,No
8,Intern,ABC Ltd,15-20 LPA,5,No,338,No,2,No
9,HR Executive,ABC Ltd,10-15 LPA,7,No,247,Yes,0,No
10,Business Analyst,TechSoft,6-10 LPA,1,Yes,756,No,1,No
11,Data Analyst,NextGen,2-4 LPA,0,No,678,Yes,1,No
12,Intern,Global Solutions,2-4 LPA,2,No,118,Yes,0,No
13,Business Analyst,Global Solutions,10-15 LPA,2,No,387,No,1,No
14,Data Analyst,BrightFuture,20+ LPA,1,Yes,500,No,2,No
15,HR Executive,BrightFuture,6-10 LPA,3,No,107,No,1,No
16,Intern,XYZ Corp,2-4 LPA,0,No,498,No,2,No
17,Intern,ABC Ltd,10-15 LPA,2,Yes,451,Yes,0,No
18,Intern,NextGen,10-15 LPA,3,Yes,546,Yes,0,No
19,Intern,XYZ Corp,10-15 LPA,7,No,46,Yes,1,No
20,Intern,Global Solutions,15-20 LPA,3,Yes,755,Yes,1,No
21,Business Analyst,Global Solutions,10-15 LPA,1,No,529,Yes,0,No
22,Business Analyst,NextGen,4-6 LPA,3,No,55,Yes,1,No
23,Intern,Global Solutions,6-10 LPA,0,No,130,No,2,No
24,Data Analyst,ABC Ltd,2-4 LPA,1,No,589,Yes,0,No
25,Business Analyst,NextGen,20+ LPA,2,No,557,No,2,No
26,Data Analyst,NextGen,4-6 LPA,0,No,331,No,2,No
27,Business Analyst,ABC Ltd,10-15 LPA,2,No,651,No,1,No
28,Data Analyst,Global Solutions,2-4 LPA,2,Yes,468,Yes,0,No
29,HR Executive,Innova,4-6 LPA,3,No,791,No,1,No
30,Software Engineer,XYZ Corp,20+ LPA,5,No,439,Yes,1,No
31,Intern,BrightFuture,20+ LPA,0,Yes,287,No,3,Yes
32,Marketing Manager,NextGen,2-4 LPA,1,Yes,197,No,1,No
33,Business Analyst,TechSoft,20+ LPA,3,No,213,Yes,1,No
34,HR Executive,BrightFuture,10-15 LPA,1,No,726,No,1,No
35,Work from Home,Innova,6-10 LPA,1,No,492,No,1,No
36,Business Analyst,ABC Ltd,4-6 LPA,5,Yes,452,No,1,No
37,Software Engineer,ABC Ltd,4-6 LPA,1,No,197,Yes,0,No
38,Business Analyst,TechSoft,2-4 LPA,0,No,447,No,2,No
39,Marketing Manager,Innova,2-4 LPA,0,Yes,255,Yes,1,No
40,Software Engineer,XYZ Corp,4-6 LPA,1,Yes,785,No,1,No
41,Marketing Manager,NextGen,20+ LPA,0,Yes,417,Yes,2,No
42,Software Engineer,Global Solutions,15-20 LPA,1,No,690,No,2,No
43,Work from Home,Innova,2-4 LPA,3,No,381,No,1,No
44,Work from Home,ABC Ltd,15-20 LPA,5,No,559,No,2,No
45,Marketing Manager,TechSoft,6-10 LPA,5,Yes,784,Yes,0,No
46,Software Engineer,Global Solutions,15-20 LPA,2,No,548,Yes,1,No
47,Marketing Manager,XYZ Corp,6-10 LPA,0,No,637,No,2,No
48,Business Analyst,TechSoft,10-15 LPA,5,No,258,Yes,0,No
49,Marketing Manager,XYZ Corp,10-15 LPA,5,No,410,Yes,0,No
50,Intern,TechSoft,15-20 LPA,3,No,506,Yes,1,No
51,Business Analyst,ABC Ltd,6-10 LPA,0,No,427,Yes,1,No
52,Intern,NextGen,15-20 LPA,5,No,331,Yes,1,No
53,Intern,Global Solutions,6-10 LPA,2,No,247,Yes,0,No
54,HR Executive,NextGen,6-10 LPA,0,No,169,Yes,1,No
55,Intern,Innova,20+ LPA,3,No,388,Yes,1,No
56,HR Executive,BrightFuture,2-4 LPA,0,Yes,781,No,2,No
57,Marketing Manager,Innova,20+ LPA,1,Yes,750,No,2,No
58,HR Executive,TechSoft,4-6 LPA,0,Yes,44,Yes,2,No
59,Marketing Manager,ABC Ltd,2-4 LPA,0,No,107,No,2,No
60,Business Analyst,XYZ Corp,20+ LPA,1,No,680,Yes,1,No
61,Software Engineer,XYZ Corp,2-4 LPA,2,No,332,No,1,No
62,HR Executive,ABC Ltd,2-4 LPA,7,No,297,No,1,No
63,Intern,BrightFuture,4-6 LPA,5,No,604,Yes,0,No
64,Work from Home,XYZ Corp,6-10 LPA,1,No,487,No,1,No
65,Software Engineer,BrightFuture,20+ LPA,2,No,56,No,3,Yes
66,Data Analyst,Innova,4-6 LPA,1,Yes,427,Yes,0,No
67,Work from Home,Innova,10-15 LPA,3,No,43,No,2,No
68,Marketing Manager,NextGen,4-6 LPA,2,Yes,144,No,1,No
69,Business Analyst,Innova,20+ LPA,3,No,641,No,2,No
70,Intern,BrightFuture,15-20 LPA,5,No,353,No,2,No
71,HR Executive,XYZ Corp,15-20 LPA,2,Yes,707,Yes,1,No
72,Marketing Manager,NextGen,2-4 LPA,7,No,203,Yes,0,No
73,HR Executive,TechSoft,4-6 LPA,3,Yes,715,No,1,No
74,Data Analyst,TechSoft,6-10 LPA,3,Yes,337,No,1,No
75,Marketing Manager,Innova,4-6 LPA,3,No,495,No,1,No
76,Work from Home,NextGen,10-15 LPA,0,No,601,Yes,1,No
77,Data Analyst,Global Solutions,15-20 LPA,5,No,459,No,2,No
78,Marketing Manager,XYZ Corp,10-15 LPA,3,No,323,Yes,0,No
79,Software Engineer,XYZ Corp,4-6 LPA,1,Yes,583,Yes,0,No
80,Marketing Manager,NextGen,4-6 LPA,1,Yes,745,Yes,0,No
81,Business Analyst,Global Solutions,4-6 LPA,7,Yes,239,Yes,0,No
82,Work from Home,BrightFuture,20+ LPA,1,No,529,Yes,1,No
83,Work from Home,Innova,4-6 LPA,5,Yes,689,No,1,No
84,Business Analyst,XYZ Corp,6-10 LPA,7,No,450,No,1,No
85,HR Executive,Innova,15-20 LPA,0,Yes,332,No,3,Yes
86,Intern,TechSoft,20+ LPA,0,No,71,Yes,3,Yes
87,Work from Home,TechSoft,6-10 LPA,1,No,670,Yes,0,No
88,HR Executive,BrightFuture,20+ LPA,1,No,20,No,3,Yes
89,HR Executive,BrightFuture,10-15 LPA,5,No,315,No,1,No
90,Data Analyst,TechSoft,6-10 LPA,1,No,290,No,1,No
91,Intern,BrightFuture,4-6 LPA,3,Yes,748,Yes,0,No
92,Data Analyst,BrightFuture,15-20 LPA,5,No,469,Yes,1,No
93,Intern,BrightFuture,2-4 LPA,5,Yes,347,No,1,No
94,Software Engineer,BrightFuture,10-15 LPA,2,No,237,Yes,0,No
95,Business Analyst,Global Solutions,2-4 LPA,1,Yes,55,No,2,No
96,Business Analyst,Innova,15-20 LPA,0,No,73,No,4,Yes
97,Intern,XYZ Corp,6-10 LPA,0,Yes,447,Yes,1,No
98,Intern,Innova,6-10 LPA,5,Yes,745,Yes,0,No
99,Data Analyst,XYZ Corp,15-20 LPA,7,Yes,132,Yes,1,No
100,Data Analyst,Global Solutions,15-20 LPA,5,Yes,597,No,2,No
101,Business Analyst,Global Solutions,10-15 LPA,5,No,791,Yes,0,No
102,Intern,Innova,10-15 LPA,1,No,45,No,2,No
103,Work from Home,NextGen,20+ LPA,2,Yes,55,No,3,Yes
104,HR Executive,BrightFuture,2-4 LPA,5,No,275,Yes,0,No
105,Software Engineer,NextGen,20+ LPA,5,No,719,Yes,1,No
106,Marketing Manager,Innova,15-20 LPA,7,Yes,232,Yes,1,No
107,Marketing Manager,XYZ Corp,2-4 LPA,1,No,610,Yes,0,No
108,Intern,Global Solutions,4-6 LPA,0,Yes,728,Yes,1,No
